SeasonYear,Quarter,Minute,Second,Down,ToGo,YardLine,Rush/Pass/Special,OFF,DEF,,
2023,3,12,56,0,0,100,4,17,25,LV,NYJ
2023,3,15,0,0,0,65,4,25,17,NYJ,LV
2023,2,0,0,0,0,100,4,17,25,LV,NYJ
2023,2,0,3,4,9,64,3,17,25,LV,NYJ
2023,2,0,3,0,0,100,4,17,25,LV,NYJ
2023,2,0,13,3,10,63,1,17,25,LV,NYJ
2023,2,0,17,2,10,63,2,17,25,LV,NYJ
2023,2,0,21,1,10,63,2,17,25,LV,NYJ
2023,2,2,0,4,29,55,3,17,25,LV,NYJ
2023,2,2,7,3,18,66,4,17,25,LV,NYJ
2023,2,2,13,2,18,66,2,17,25,LV,NYJ
2023,2,2,56,1,10,74,4,17,25,LV,NYJ
2023,2,3,24,1,10,56,2,17,25,LV,NYJ
2023,3,8,54,2,2,88,1,24,9,NYG,DAL
2023,3,9,30,1,10,80,1,24,9,NYG,DAL
2023,3,10,4,1,10,59,1,24,9,NYG,DAL
2023,3,11,36,0,0,100,4,9,24,DAL,NYG
2023,3,13,3,0,0,100,4,9,24,DAL,NYG
2023,3,15,0,0,0,65,4,24,9,NYG,DAL
2023,2,0,0,0,0,100,4,24,9,NYG,DAL
2023,2,0,16,0,0,65,4,24,9,NYG,DAL
2023,2,0,16,0,0,85,4,9,24,DAL,NYG
2023,2,0,22,3,9,90,1,9,24,DAL,NYG
2023,2,0,58,2,18,81,2,9,24,DAL,NYG
2023,2,0,58,0,0,100,4,9,24,DAL,NYG
2023,2,1,5,2,8,91,2,9,24,DAL,NYG
2023,2,1,5,0,0,100,4,9,24,DAL,NYG
2023,2,1,16,1,10,89,2,9,24,DAL,NYG
2023,2,1,54,1,10,72,2,9,24,DAL,NYG
2023,2,1,59,2,3,56,2,9,24,DAL,NYG
2023,2,1,59,0,0,100,4,9,24,DAL,NYG
2023,2,3,48,0,0,65,4,24,9,NYG,DAL
2023,2,3,48,0,0,100,4,9,24,DAL,NYG
2023,2,3,48,0,0,85,4,9,24,DAL,NYG
2023,2,3,52,2,10,90,2,9,24,DAL,NYG
2023,2,3,59,1,10,90,2,9,24,DAL,NYG
2023,2,4,37,2,1,73,1,9,24,DAL,NYG
2023,2,5,20,1,10,64,1,9,24,DAL,NYG
2023,2,6,4,2,4,52,1,9,24,DAL,NYG
2023,2,6,36,0,0,100,4,9,24,DAL,NYG
2023,2,7,22,0,0,100,4,24,9,NYG,DAL
2023,2,8,48,0,0,100,4,9,24,DAL,NYG
2023,2,8,48,0,0,85,4,9,24,DAL,NYG
2023,2,8,52,2,1,99,2,9,24,DAL,NYG
2023,2,9,27,1,4,96,1,9,24,DAL,NYG
2023,2,10,6,1,10,81,1,9,24,DAL,NYG
2023,2,10,16,0,0,100,4,17,25,LV,NYJ
2023,2,11,48,0,0,65,4,17,25,LV,NYJ
2023,2,11,48,0,0,100,4,17,25,LV,NYJ
2023,2,11,51,4,12,88,3,25,17,NYJ,LV
2023,2,11,56,3,12,88,2,25,17,NYJ,LV
2023,2,12,42,2,12,88,1,25,17,NYJ,LV
2023,2,13,27,1,13,87,1,25,17,NYJ,LV
2023,2,13,33,1,3,97,1,25,17,NYJ,LV
2023,2,13,56,3,7,77,1,25,17,NYJ,LV
2023,2,14,38,2,14,70,2,25,17,NYJ,LV
2023,2,14,54,0,0,100,4,25,17,NYJ,LV
2023,4,3,30,3,4,60,2,25,17,NYJ,LV
